SKU	US Dollars
AE657	 $40.20 
CI868	 $31.01 
VZ901	 $20.90 
HX330	 $64.20 
LW273	 $10.09 
BL629	 $57.85 
NJ208	 $16.90 
BL613	 $46.60 
BA431	 $66.31 
SM530	 $68.24 
EK320	 $10.99 
FY941	 $27.09 
HQ465	 $33.62 
RE709	 $58.89 
VO445	 $58.75 
XT232	 $63.69 
PT705	 $36.83 
UZ348	 $26.09 
VC354	 $31.26 
GB985	 $33.19 
OB946	 $22.68 
PL670	 $66.83 
OZ687	 $28.46 
YP712	 $45.16 
SO782	 $31.62 
LM861	 $21.62 
HW593	 $51.21 
JM906	 $32.49 
HO114	 $65.64 
WK897	 $26.33 
AG428	 $67.71 
BR404	 $41.61 
LU332	 $49.25 
MJ119	 $46.22 
UQ440	 $30.63 
WT129	 $41.39 
LF280	 $56.67 
IN878	 $30.95 
KQ410	 $13.80 
FE531	 $48.15 
OP907	 $58.83 
XJ577	 $22.68 
ND693	 $67.55 
BH214	 $46.86 
DN140	 $44.96 
NL914	 $40.57 
ON577	 $68.43 
KD259	 $27.22 
WG573	 $64.95 
LR151	 $44.51 
AH875	 $59.80 
KQ172	 $36.54 
KZ182	 $13.81 
QH824	 $33.39 
YW438	 $38.85 
JD304	 $35.83 
YE126	 $34.43 
AC549	 $50.04 
NL621	 $39.22 
ED392	 $27.97 
